SurfacePositionX,SurfacePositionY,SurfacePositionZ,HitPositionX,HitPositionY,HitPositionZ,PointOfClosestApproachX,PointOfClosestApproachY,PointOfClosestApproachZ,HitDirectionX,HitDirectionY,HitDirectionZ,eventID,volumeID
0,2781.2,3077.68,-108.12,2772.99,3085.04,-108.12,2772.99,3085.04,-0.00808732,0.667801,0.744296,82,9
1.81899e-12,5024.2,5592.42,-135.756,5022.29,5594.13,-135.756,5022.29,5594.13,-0.00765005,0.667372,0.744685,82,18
9.09495e-13,5039.15,5618.31,-135.979,5041.82,5615.92,-135.979,5041.82,5615.92,-0.00764274,0.667377,0.744681,82,18
1.81899e-12,5054.1,5644.21,-136.203,5061.35,5637.71,-136.203,5061.35,5637.71,-0.00762608,0.667372,0.744685,82,18
1.81899e-12,5084,5644.21,-136.355,5074.67,5652.57,-136.355,5074.67,5652.57,-0.00763348,0.667355,0.7447,82,18
9.09495e-13,5098.95,5670.1,-136.613,5097.18,5677.69,-136.579,5094.19,5674.36,-0.00763514,0.667345,0.74471,82,18
1.81899e-12,5383,6000,-139.902,5384.67,5998.51,-139.902,5384.67,5998.51,-0.00763583,0.667352,0.744703,82,18
9.09495e-13,5397.95,6025.89,-140.125,5404.19,6020.3,-140.125,5404.19,6020.3,-0.00762798,0.667356,0.7447,82,18
9.09495e-13,5427.85,6025.89,-140.278,5417.51,6035.16,-140.278,5417.51,6035.16,-0.00764072,0.667344,0.74471,82,18
1.81899e-12,5412.9,6051.79,-140.349,5423.72,6042.09,-140.349,5423.72,6042.09,-0.00761171,0.667345,0.74471,82,18
1.81899e-12,5442.8,6051.79,-140.501,5437.04,6056.95,-140.501,5437.04,6056.95,-0.00760116,0.667357,0.744699,82,18
9.09495e-13,5457.75,6077.68,-140.724,5456.57,6078.74,-140.724,5456.57,6078.74,-0.00763871,0.667354,0.744701,82,18
9.09495e-13,-867.1,-3000,-492.427,-868.123,-3003.21,-492.685,-867.18,-2999.98,-0.0763051,0.279068,0.957235,83,67
9.09495e-13,-852.15,-2974.11,-494.908,-859.051,-2972.09,-494.908,-859.051,-2972.09,-0.0762945,0.279071,0.957235,83,67
1.36424e-12,-867.1,-2948.21,-496.49,-853.264,-2952.25,-496.49,-853.264,-2952.25,-0.0762852,0.279084,0.957232,83,67
1.36424e-12,-837.2,-2948.21,-497.13,-850.921,-2944.21,-497.13,-850.922,-2944.21,-0.0763106,0.279103,0.957224,83,67
9.09495e-13,-852.15,-2922.32,-498.712,-845.135,-2924.36,-498.712,-845.135,-2924.36,-0.0762912,0.279085,0.957231,83,67
4.54747e-13,-747.5,-2592.42,-525.186,-748.29,-2592.19,-525.186,-748.29,-2592.19,-0.0762954,0.279068,0.957236,83,67
4.54747e-13,-732.55,-2566.52,-527.409,-740.161,-2564.3,-527.409,-740.161,-2564.3,-0.0763143,0.279075,0.957232,83,67
9.09495e-13,-747.5,-2540.63,-528.879,-734.784,-2545.86,-528.991,-734.374,-2544.46,-0.0763151,0.279066,0.957235,83,67
4.54747e-13,-732.55,-2514.74,-531.214,-726.246,-2516.57,-531.214,-726.246,-2516.57,-0.0763295,0.279048,0.957239,83,67
0,0,0,-730.045,6.68537,-1.94812,-730.045,6.68537,-1.94812,-0.0757773,0.27896,0.957308,83,66
-4.54747e-13,14.95,25.8942,-732.008,13.9098,22.8442,-732.253,14.8104,25.9348,-0.0757966,0.278955,0.957308,83,66
0,29.9,51.7883,-734.46,22.9355,53.8178,-734.46,22.9355,53.8178,-0.0758066,0.278962,0.957305,83,66
-4.54747e-13,14.95,77.6825,-736.033,28.7205,73.6704,-736.033,28.7205,73.6704,-0.0758255,0.278914,0.957318,83,66
-4.54747e-13,44.85,77.6825,-736.669,31.0598,81.6999,-736.669,31.0598,81.6999,-0.075784,0.278892,0.957328,83,66
4.54747e-13,119.6,407.582,-762.31,125.489,405.867,-762.31,125.489,405.867,-0.0757408,0.278867,0.957338,83,66
-4.54747e-13,134.55,433.477,-764.516,133.611,433.75,-764.516,133.611,433.75,-0.0757335,0.278858,0.957341,83,66
4.54747e-13,149.5,459.371,-766.722,141.732,461.633,-766.722,141.732,461.633,-0.0757327,0.27885,0.957344,83,66
-4.54747e-13,134.55,485.265,-768.293,147.516,481.488,-768.293,147.516,481.488,-0.075744,0.278845,0.957345,83,66
1.36424e-12,867.1,3000,-966.494,879.703,2996.34,-966.494,879.703,2996.34,-0.0751845,0.278439,0.957507,83,73
9.09495e-13,-1794,-3000,-844.906,-1782.36,-3006.91,-844.906,-1782.36,-3006.91,-0.116939,0.507334,0.853779,84,69
9.09495e-13,-1764.1,-3000,-846.705,-1774.56,-2993.78,-846.705,-1774.56,-2993.78,-0.116938,0.507301,0.853798,84,69
9.09495e-13,-1779.05,-2974.11,-848.427,-1767.09,-2981.21,-848.427,-1767.09,-2981.21,-0.11692,0.507314,0.853793,84,69
9.09495e-13,-1749.15,-2974.11,-850.225,-1759.29,-2968.08,-850.225,-1759.29,-2968.08,-0.116914,0.507289,0.853808,84,69
1.36424e-12,-1764.1,-2948.21,-851.946,-1751.82,-2955.51,-851.946,-1751.82,-2955.51,-0.116932,0.507309,0.853794,84,69
1.36424e-12,-1734.2,-2948.21,-853.648,-1744.44,-2943.08,-853.744,-1744.02,-2942.38,-0.116924,0.507289,0.853807,84,69
9.09495e-13,-1719.25,-2922.32,-857.264,-1728.75,-2916.67,-857.264,-1728.75,-2916.67,-0.116913,0.507278,0.853815,84,69
4.54747e-13,-1524.9,-2592.42,-902.338,-1533.17,-2587.5,-902.338,-1533.17,-2587.5,-0.116929,0.507286,0.853808,84,69
4.54747e-13,-1509.95,-2566.52,-905.843,-1517.96,-2561.91,-905.858,-1517.9,-2561.8,-0.116935,0.507269,0.853818,84,69
9.09495e-13,-1495,-2540.63,-909.378,-1502.63,-2536.1,-909.378,-1502.63,-2536.1,-0.116942,0.507271,0.853815,84,69
4.54747e-13,-1480.05,-2514.74,-912.899,-1487.36,-2510.39,-912.899,-1487.36,-2510.39,-0.116937,0.507293,0.853803,84,69
0,0,0,-1255.75,4.62956,-2.75371,-1255.75,4.62956,-2.75371,-0.116497,0.507732,0.853602,84,68
-4.54747e-13,14.95,25.8942,-1259.26,19.9134,22.9419,-1259.26,19.9134,22.9419,-0.116495,0.507723,0.853608,84,68
0,29.9,51.7883,-1262.77,35.1975,48.6371,-1262.77,35.1975,48.6371,-0.116497,0.507759,0.853586,84,68
-4.54747e-13,44.85,77.6825,-1266.34,50.7839,74.8397,-1266.27,50.4821,74.3323,-0.116506,0.507744,0.853594,84,68
0,254.65,407.582,-1312.3,251.091,411.571,-1312.12,250.269,410.189,-0.11651,0.507768,0.853579,84,69
-9.09495e-13,269.6,433.477,-1315.62,265.554,435.883,-1315.62,265.554,435.883,-0.116526,0.50777,0.853575,84,69
